Nom,Adreça,Districte,Barri,Codi Postal,Telèfon,Telèfon 2,Latitud,Longitud,Web
Bar Restaurant Habana Barcelona,Carrer Escar 1,Ciutat Vella,la Barceloneta,08039,+34 932250263,+34 932214467,41.37539852222222,2.18853675,http://www.habanabarcelona.com
Restaurant Free & Fresh,Carrer Balmes 193,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,08006,+34 934156224,,41.39700243055555,2.1522896666666664,
Bar Pinocho,la Rambla 101,Ciutat Vella,el Raval,08002,+34 933171731,,41.38267368611111,2.171678722222222,
Col·legi d'Arquitectes de Catalunya,Plaça Nova 5,Ciutat Vella,el Barri Gòtic,08002,+34 933067850,+34 933015000,41.38444698611111,2.175041361111111,
Bar Glüh,Verdaguer i Callís 6,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",08003,,,41.38692916666667,2.1761466388888886,
Bar Mandarina,Diputació 157,Eixample,l'Antiga Esquerra de l'Eixample,08011,+34 933233393,,41.38415379722222,2.158560222222222,
Bar Restaurant El Último Agave,Carrer Aragó 193,Eixample,l'Antiga Esquerra de l'Eixample,08011,+34 934549343,,41.38786373055556,2.1588890277777777,http://www.elultimoagave.com
Restaurant Candela Raval,Carrer Hospital 48,Ciutat Vella,el Raval,08001,+34 933010813,,41.38072328888889,2.1711486944444442,http://www.candelaraval.com
Hotel Claris,Carrer Pau Claris 150,Eixample,la Dreta de l'Eixample,08009,+34 934874647,+34 934876262,41.39445991388889,2.165013194444444,http://www.derbyhotels.es
Restaurant Japonès Misaki,Carrer Aribau 40,Eixample,l'Antiga Esquerra de l'Eixample,08011,+34 934513393,,41.38759699444444,2.1605608333333333,
Restaurant La Locanda,Carrer Doctor Joaquim Pou 4,Ciutat Vella,el Barri Gòtic,08002,+34 933174609,,41.38595585,2.1755125555555552,http://www.restaurantelalocanda.com
Gran Hotel Havana Barcelona,Gran Via Corts Catalanes 647,Eixample,la Dreta de l'Eixample,08010,+34 934121115,+34 934122611,41.39270169444445,2.1721956944444445,http://www.grandhotelhavana.com
Restaurant Fresc Co *Av Diagonal/Muntaner,Avinguda Diagonal 449,Eixample,l'Antiga Esquerra de l'Eixample,08036,+34 934106106,+34 933016837,41.39360134166667,2.1489241666666667,http://www.frescco.com
Restaurant Xinès Hecheng,Entença 12,Eixample,Sant Antoni,08015,+34 933252349,,41.375703025,2.155971611111111,
Restaurant Eterna,Carrer Consell de Cent 127-129,Eixample,la Nova Esquerra de l'Eixample,08015,+34 93 424 2526,+34 93 423 5075,41.38174175555556,2.1528230833333333,http://www.restauranteeterna.com
Restaurant Kailash,Carrer Xifré 100,Sant Martí,el Camp de l'Arpa del Clot,08026,+34 934330766,,41.41133651944444,2.1804401388888888,
Free Girls,Marià Cubí 4,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,08006,+34 932172296,,41.39936953055555,2.151432388888889,
Bulería Café-bar,Aribau 66,Eixample,l'Antiga Esquerra de l'Eixample,08011,+34 934531019,,41.38879096944444,2.158984611111111,
Restaurant Can Cargol,Carrer València 324,Eixample,la Dreta de l'Eixample,08009,+34 934589631,+34 934580017,41.39548459444445,2.167451972222222,
Restaurant Hisop,Passatge Marimon 9,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,08021,+34 932413233,,41.39445760833333,2.1480123333333334,http://www.hisop.com
Cafè Just,Sots-tinent Navarro 18,Ciutat Vella,el Barri Gòtic,08002,+34 933106456,,41.38267685277778,2.1796073333333332,
Restaurant Can Seixanta *Pau Claris,Carrer Pau Claris 128,Eixample,la Dreta de l'Eixample,08009,+34 934879581,,41.39298624166667,2.1669573055555555,
